news_headline,news_article,news_category
7-foot penis-shaped wooden sculpture goes missing from German town,"German police have opened an investigation into the disappearance of a large penis-shaped wooden sculpture from a town. The sculpture, which turned up several years ago, even appeared on Google Maps, where it was classified as a ""cultural monument"". Local newspaper AllgÃ¤uer Zeitung said the nearly 7-foot sculpture appeared to have been chopped down leaving behind a pile of sawdust.",world
Japan's Mitsubishi buys minority stake in TVS' logistics arm,"Japanese automotive manufacturer Mitsubishi has bought a minority stake in two-wheeler manufacturer TVS' logistics arm, TVS Supply Chain Solutions for an undisclosed sum. Mitsubishi's investment will help Tata Opportunities Fund secure a partial exit. ""Through...Mitsubishi Corporation, we aim to accelerate our growth in the years to come,"" said R Dinesh, Managing Director, TVS SCS.",automobile
"Jaguar Land Rover seeks US ban on Audi, other SUVs for patent infringement","Jaguar Land Rover (JLR) has urged the US to impose an import ban on SUVs made by Volkswagen-owned brands such as Audi, Porsche and Lamborghini over allegations they infringe its Terrain Response patent. Porsche Cayenne, Volkswagen Tiguan and Audi Q8, Q7 and Q5 are some of the cars that JLR has requested to ban.",automobile
Facebook could soon face its 1st antitrust suit by US govt: Report,"Facebook could soon face the first antitrust action against it by the US government as federal and state authorities are preparing to file new lawsuits against Facebook and Google, WSJ reported. The authorities are probing if the firms abused their power in the internet economy and are readying as many as four cases by January-end.",technology
Smith isn't that far away from Kohli: Gambhir on best ODI batsman ever,"Ex-India opener Gautam Gambhir has said that Australia batsman Steve Smith is not far behind Virat Kohli in the ""best ODI batsman in the world ever"" discussion. ""Getting...two back to back hundreds in 60 balls is no joke. Yes, Kohli will always have better numbers but look at the impact Smith has had in the last two games,"" he added.",sports
Coronavirus vaccination in US will not be mandatory: Biden,US President-elect Joe Biden on Friday said that coronavirus vaccination in the country would not be mandatory when one becomes available. Biden added that he's willing to take a COVID-19 vaccine in public to prove it's safe and effective. The US is the worst coronavirus-hit country in the world with over 1.4 crore COVID-19 cases and over 2.7 lakh deaths.,world
Will leave politics if there's any trouble on MSP: Haryana CM to Punjab CM,"Haryana CM Manohar Lal Khattar told Punjab CM Captain Amarinder Singh that he'll ""leave politics if there'll be any trouble on the MSP"" and urged him to ""stop inciting innocent farmers"". ""You're only tweeting and running away from talks, Why?"" asked Khattar. Earlier, Singh condemned Haryana government's ""forcible attempts"" to prevent farmers from marching to Delhi against the farm laws.",politics
Actors can't be on set and be paranoid about COVID-19: Dia,"Actress Dia Mirza, who's shooting for a series amid the coronavirus pandemic, has said when she decided to resume work, she made sure that there were protocols in place to ensure the highest level of safety. ""But after a while, you've to let go...You can't be on...set and be paranoid about the fact that you might contract (coronavirus),"" she added.",entertainment
Increase in trafficking of women due to pandemic: Nobel laureate,"The COVID-19 pandemic has increased human trafficking of women and gender-based violence, Nobel Peace Prize laureate Nadia Murad has said. ""As a result, women's health and safety are on the line"", she added. Murad, who was forced into sexual slavery by Islamic State fighters in Iraq, said that the lockdowns and curfews ""have had unintended consequences on women worldwide"".",world
"President Kovind, PM Modi extend greetings on Guru Nanak Jayanti","President Ram Nath Kovind and Prime Minister Narendra Modi have extended greetings to nation on Guru Nanak Jayanti. PM Modi tweeted, ""I bow to Sri Guru Nanak Dev Ji on his Parkash Purab. May his thoughts keep motivating us to serve society and ensure a better planet."" President Kovind urged citizens to emulate Guru Nanak Dev's teachings in their conduct.",politics
Bengal govt will have to answer: Shah on attack on Naddaâ€™s convoy,"Union Home Minister Amit Shah on Thursday, while reacting to the alleged attack on the convoy of BJP chief JP Nadda in West Bengal, said, ""Bengal government will have to answer to the...people of the state for this sponsored violence."" ""However much we condemn this incident, it is less. The central government is taking this attack very seriously,"" Shah added.",politics
China's AutoX to test self-driving vehicles in 4 more Chinese cities,"China's autonomous vehicle startup AutoX, which is backed by Alibaba, said it's preparing for tests in Beijing, western Chongqing and two other cities and will soon test its technology with FCA's Pacifica minivan. CEO Jianxiong Xiao said AutoX will also soon start testing driverless vehicles in China. AutoX had earlier received a permit for driverless testing in California.",automobile
Scientists rediscover chameleon species after 100 yrs in Madagascar,"An expedition led by the Munich State Zoological Collection tracked the rare Voeltzkow's chameleon in northwest Madagascar, after it was lost for over 100 years. Genetic studies have shown that the species is most closely related to Labord's chameleon. The team also discovered previously unknown females of the species, who, especially during pregnancy, put on an ""extremely magnificent colour"".",science
Will send him a text tonight: Kohli as video of his 6 with ABD-like shot goes viral,"A video of India captain Virat Kohli hitting a six off Australia pacer Andrew Tye with an AB de Villiers-like scoop shot in the second T20I went viral. In the post-match presentation, Kohli said, ""It was a bit of funny moment, I surprised myself there."" He added, ""I'll send ABD a text tonight and see what he thinks of it.""",sports
BJP releases manifesto for Hyderabad civic body elections,"Former Maharashtra CM Devendra Fadnavis on Thursday released the BJP manifesto for the Greater Hyderabad Municipal Corporation (GHMC) polls. ""Corporation will...ensure no one will have to run to any private hospital for the [COVID-19] vaccine,"" Fadnavis said. He added that planned development for the city and free travel for women are some of the important steps promised in the manifesto.",politics
"AB de Villiers becomes father for the third time, shares pic of newborn daughter","Former South Africa captain AB de Villiers took to Instagram to reveal that he and his wife Danielle have become parents for the third time. Sharing a picture, De Villiers wrote, ""On 11-11-2020, we welcomed a beautiful baby girl into the world...Yente de Villiers, you are the perfect addition to our family."" The duo have two sons together.",sports
Men never molested women at home according to him: Sona on Mukesh's remark,"Singer Sona Mohapatra has criticised actor Mukesh Khanna's remark wherein he said that the ""MeToo problem began when women stepped out to work"". ""Men never ever molested or assaulted women and children inside homes according to this fellow who is best ignored. Tacky [mandbuddhi],"" she tweeted. ""The sad truth is there are...more such regressive mindsets around us everywhere,"" Sona added.",entertainment
OTT has been a turning point in my career: Vikrant Massey,"Talking about OTT platforms, actor Vikrant Massey said, ""It has been a massive change."" The actor, who has worked in web shows like 'Criminal Justice' and 'Mirzapur', added, ""In a lot of ways OTT has been a turning point in my career."" ""I'm really thankful that I did things that I did and it worked out,"" Vikrant further said.",entertainment
"I do some films for money, so that I can do good cinema for free: Siddiqui","During a recent interview, actor Nawazuddin Siddiqui mentioned that he has done some films solely for money so that he can do ""good cinema"" for free. ""I did it for Manto, I didn't take any [money]. But for that three-four months process, I have to either do a film for money before or after it for a balance,"" he explained.",entertainment
I mistook urine leaking from Russian probe for UFO: Astronaut Tim Peake,"British astronaut Tim Peake has revealed he thought he saw a UFO in space before he realised it was actually droplets of urine leaking from a Russian probe vehicle. ""What was happening was liquid leaking out, crystallising instantly and reflecting the light,"" he said. In 2015, Peake became the first British astronaut to join the International Space Station.",science
"Data of 10L Swedes accidentally shared with Google, Facebook: Folksam","Sweden-based insurance company Folksam on Tuesday said it accidentally leaked private data of around 10 lakh customers to tech companies like Google, Facebook, Microsoft and LinkedIn. Folksam said it immediately stopped sharing the personal information and has requested it to be deleted. There's no indication that the information has been used by third parties in an improper manner, it added.",technology
Delhi govt launches forum to discuss electric vehicle policy,"Delhi government on Friday launched the 'Delhi EV Forum', a common platform for multiple stakeholders to hold discussions on the government's electric vehicle (EV) policy. ""Delhi EV Forum will be the first such forum in India...The first meeting will be held virtually on December 18,"" Delhi DDC Vice Chairperson said. The policy's objective is to combat air pollution in Delhi.",automobile
"Punjab, WB also have film cities, will Yogi visit them too?: Raut","Following a meeting between Akshay Kumar and UP CM Yogi Adityanath, Shiv Sena's Sanjay Raut said, ""It's not easy to shift Mumbai's film city to another place."" Raut added, ""There are film cities in WB and Punjab too. Will Yogi Ji also visit these places and talk to directors/ artists or is he going to do so only in Mumbai?""",politics
Coral reef taller than Eiffel Tower found in Australia: Scientists,"Schmidt Ocean Institute has announced that scientists have discovered a detached coral reef, taller than the Eiffel Tower and the Empire State Building, in the Great Barrier Reef. The 500 metre-high reef is the first of its size to be discovered in over 120 years in the area. It adds to the seven other tall detached reefs in the area.",science
I keep challenging myself because after a while the magic fades: Rahman,"Stating that the only way to fight boredom is reinvention, music composer AR Rahman added, ""I keep challenging myself because after a while, the magic fades and the brain becomes numb."" He further said, ""We have to find ways to stand out in order to break the monotony.""  Rahman also noted it's natural for humans to get bored.",entertainment
YouTuber Bhuvan Bam tests positive for coronavirus,"YouTuber Bhuvan Bam, who runs the popular YouTube channel 'BB Ki Vines', took to Instagram on Sunday to share the news that he has tested positive for coronavirus. ""Beetey kuch dino se tabiyat kharab chal rahi hai (I have been feeling unwell for a while). Test results have come and I am COVID-19 positive,"" the 26-year-old YouTuber wrote on Instagram.",entertainment
All rules are applicable to everyone else other than Kohli: Sehwag on team changes,"Criticising ""frequent"" changes made in Team India by captain Virat Kohli, former India opener Virender Sehwag said, ""All the rules are applicable to everyone else other than Kohli, no rule is applicable to him."" He added, ""Neither his batting order is changed nor is he left out or given break when he is out of form. So, that is wrong.â€",sports
We welcome farmers to Delhi & stand with them in this battle: AAP,"After the protesting farmers were allowed to enter Delhi through Tikri border, the Aam Aadmi Party said that they welcome farmers and stand with them ""in this battle"". ""We will take full care of the farmers and make all necessary arrangements for them,"" AAP tweeted. The party added that CM Arvind Kejriwal is personally monitoring arrangements being made in Burari.",politics
"Suhana recreates Ariana's look from new album for Halloween, shares pic","Shah Rukh Khan's daughter Suhana Khan recreated Ariana Grande's look from her new album 'Positions' for Halloween and posted the picture on Instagram stories. She paired a crop top with a skirt and also wore a black hairband to copy the Grammy-winner's hairstyle. ""Being Ariana every Halloween. Manifestation,"" she wrote in the caption.",entertainment
"Anushka does shirshasana during pregnancy with Kohli's support, shares throwback pic","Anushka Sharma took to social media to share a throwback picture of herself doing shirshasana during her pregnancy with the support of her husband Virat Kohli. ""[I] used the wall for support and also my very able husband supporting my balance, to be extra safe,"" she wrote. She added, ""I'm so glad I could continue my practice through my pregnancy.""",sports
Gayle should be in playing XI from game one in IPL 2021: KXIP co-owner Wadia,"Kings XI Punjab co-owner Ness Wadia has said that Chris Gayle should feature in playing XI from game one in the next IPL. ""Gayle demonstrated [in IPL 2020] that he should play every game next season,"" Wadia added. Gayle featured in seven of KXIP's 14 matches in IPL 2020 and scored 288 runs.",sports
Self-driving drone with 70% reusable system for launching satellites unveiled,"US-based startup Aevum has unveiled a fully self-driving drone, Ravn X, designed to deliver satellites to space as fast as every three hours. Aevum claims Ravn X is the world's largest Unmanned Aircraft System (UAS) by mass. It added that 70% of Ravn X's system is reusable and it aims for 95% reusability in future.",science
"Grammy-winning singer Lizzo shares pic in just US flag, pens post on US election","Grammy-winning American singer Lizzo shared a picture wearing just half of an American flag-jumpsuit and penned a note on US elections. The outfit was designed by Rey Ortiz in collaboration with Lizzo's stylist, Marko Monroe. According to Marko, the portion of the jumpsuit printed with the flag represents the percentage of people who didn't vote in the previous presidential election.",entertainment
Barcelona to be fined after Messi's tribute to Maradona: Reports,"Barcelona will reportedly pay a fine of $3,600 after Lionel Messi paid tribute to Diego Maradona on Sunday by celebrating in a Newell's Old Boys jersey. Messi took off Barcelona's blue-and-burgundy strip to reveal the red-and-black of Newell's after scoring a goal against Osasuna. But the touching tribute was against the rules of the Royal Spanish Football Federation.",sports
Giving statements to media is loss to the party: Tariq Anwar on Sibal,"After Congress leader Kapil Sibal criticised the party's performance in Bihar Assembly polls, General Secretary Tariq Anwar said, ""If he is giving a statement in the media, it will only be a loss to the party."" He added, ""If the party lacks something and he wants to give a suggestion, he should meet the party high command and president.""",politics
Dutt's daughter responds after being asked to comment on his past drug addiction,"Sanjay Dutt's daughter Trishala replied to an Instagram user who asked her to comment on her father's past drug addiction as a psychotherapist. ""Addiction is a chronic disease characterised by drug...use that's compulsive,"" she wrote. ""He'll always be in recovery...Even though he's not using anymore. I'm proud of my father for...seeking help...There's nothing...to be ashamed about,"" she added.",entertainment
Lawnmower robot in Germany messages owner as thief tries to steal it,"A lawnmower robot in Germany sent a message to its owner that it had flipped upside down while a thief tried to steal it. The owner spotted a thief with the robot tucked under his arm when he went outside to the lawn to check on the device. Caught in the act, the thief dropped the lawnmower robot and escaped.",technology
Do elderly women in farmer protests look like Khalistanis?: SAD chief,"Shiromani Akali Dal (SAD) President Sukhbir Singh Badal on Thursday said that there are elderly women in the farmers' protests. He added, ""Do they look like Khalistanis? It is a way of calling farmers of the country as anti-nationals."" Badal further said, ""Does BJP or anybody else have the right to declare anybody as anti-national?""",politics
"Trump supporter made fake Twitter accounts, raised $7K for LGBT campaign","A 21-year-old man who created fake accounts on Twitter and impersonated US President Donald Trump's family members was reportedly able to raise $7,384 for a non-existent ""Gay Voices for Trump"" campaign. A parody account run by Josh Hall even prompted President Trump to retweet an article falsely claiming that his sister, Elizabeth Trump Grau, had joined Twitter to support him.",technology
Detained Hong Kong pro-democracy activist Agnes Chow denied bail,"A Hong Kong court on Wednesday denied bail to pro-democracy activist Agnes Chow, who was arrested last week. Chow was appealing against her 10-month prison sentence after pleading guilty to her role in a siege of police headquarters during anti-government protests in June last year. Chow, along with activists Joshua Wong and Ivan Lam, was sentenced on December 2.",world
Researchers 3D print working boat a third of the thickness of a hair,"Researchers at the Netherlands' Leiden University have 3D printed a little boat measuring 30 micrometres, about a third of the thickness of a hair. The researchers also printed spiral-shaped particles, which rotate along while they are propelled through the water. The 3D-printed boat is part of an exploration of microswimmers like bacteria and sperm.",science
MI break record for playing the most number of T20 matches,"Mumbai Indians have broken the record for playing the most number of T20 matches, with the IPL 2020 match against Delhi Capitals being their 222nd T20 match. They overtook English county side Somerset, who have played 221 matches. English county side Hampshire are third on the list, having played 217 T20 matches.",sports
Mink mass graves in Denmark might contaminate groundwater: Study,A study commissioned by Denmark's Environmental Protection Agency states that decomposing mink buried in dirt pits following a nationwide cull might contaminate groundwater. Danish government ordered a cull of some 1.7 crore mink in November after hundreds of farms suffered outbreaks of coronavirus. Authorities buried some of the mink in pits in a military area under two metres of soil.,world
"Shaheer, Ruchikaa share first pictures after court marriage","Shaheer Sheikh and Ruchikaa Kapoor have shared first pictures from their court wedding on social media. In the pictures, Shaheer can be seen in white kurta-pyjama and sunglasses, and Ruchikaa in light blue salwar kameez. ""Off on an adventure called Forever...#HappilyEverAfter #ForeverPerson,"" Ruchikaa wrote with a heart emoji on Instagram.",entertainment
Indian-American Raja Chari among 18 astronauts selected for next moon missions,"Indian-American astronaut Raja Chari is among the 18 astronauts selected to begin training for upcoming Artemis missions to the moon, NASA announced on Wednesday. The first woman and the next man on the moon will come from this group of 18 astronauts. ""Proud to be part of the team working to take humans to the moon to stay,"" Chari tweeted.",science
"Sushant issue has not faded, CBI is investigating: Bihar CM Nitish","Bihar Chief Minister Nitish Kumar has said that the death case of Bollywood actor Sushant Singh Rajput has not faded away due to the state Assembly elections. He said, ""The CBI is investigating the case. It is the CBI's duty, and everything is being done."" He added, ""CBI will probe the case, we are now busy in the elections.""",politics
Canada approves use of Pfizer/BioNTech coronavirus vaccine,"After the UK and Bahrain, Canada has approved the Pfizer/BioNtech COVID-19 vaccine for widespread use. Regulator Health Canada said the vaccine was approved ""after a thorough, independent review of the evidence"". The country's Saskatchewan province is expected to receive enough doses to vaccinate 1,950 health workers by Tuesday. Canada will receive up to 2,49,000 doses of the vaccine this month.",world
Czech search engine seeks $417 mn from Google over competition claims,"The Czech Republic's web search platform Seznam is seeking 9.072 billion crowns ($417 million) in damages from Google alleging it restricted competition. A Google spokesperson said they haven't yet received the claim and added that Google does not unfairly favour its own services. Users are not locked in and competition is just one click away on the internet, Google said.",technology
I get messages asking me to sleep with or marry someone: Aditi Sanwal on casting couch,"Talking about casting couch, 'Kasautii Zindagii Kay 2' actress Aditi Sanwal said that she often receives vulgar messages from people claiming to be casting agents. ""Sometimes I receive messages asking me to sleep with or marry someone,"" she added. Aditi further said, ""I donâ€™t even think such people are genuine, so I just block them.""",entertainment
Man's lie caused South Australia lockdown where 1 per family can go out,South Australia's lockdown where only one person from a household is allowed to leave home was caused by a man's lie to contact tracers. The man said he was a customer at a pizza shop when in fact he worked several shifts there with another COVID-19-infected worker. Authorities assumed he caught a highly contagious strain during a very short exposure.,world
Japan's greenhouse emissions fell 2.7% to record low in FY 2019-20,Japan's greenhouse gas emissions fell 2.7% to a record low in the financial year 2019-20. The drop was Japan's sixth straight annual drop. Emissions dropped to 1.213 billion metric tonnes of CO2 equivalent from 1.247 billion tonnes the previous year. The levels recorded are the lowest since comparable data became available in the financial year 1990-91.,science
I'm against censorship on digital platforms: Sumeet,"Speaking about the Ministry of Information and Broadcasting regulating streaming platforms, actor Sumeet Vyas stated that he stands against censorship. ""This is a very undemocratic move...we do have a right to information and the freedom to speech,"" he said. While he opposed censorship, Sumeet added, ""I...support...rating process. Series and films...on OTT should be rated according to age.""",entertainment
Tesla reveals women comprise 17% of its total US leadership roles,"Tesla revealed in its first-ever US diversity report that women comprise 17% of the company's leadership roles and 21% of the overall workforce. It added that Black people make up 4% of its US leadership roles and 10% of its total workforce. ""While women are historically underrepresented...we recognise we have work to do in this area,"" Tesla said.",technology
Man held after dumping human head in recycle bin in Spain; video surfaces,"A man was spotted dumping a human head in a recycling bin in Spain's Huelva and was arrested from a nearby flat, where the officers also discovered the body of the dead man. Police were alerted when the accused was seen carrying the head that was poking out of a bag, with some witnesses mistaking it as a Halloween joke.",world
France to investigate 76 mosques suspected of 'separatism',"France will investigate 76 mosques suspected of fomenting Islamist ideology as part of its action against ""separatism"", Interior Minister GÃ©rald Darmanin said. Where suspicions are confirmed, the mosque will be closed down, he added. The action comes after several Islamist attacks in France recently, including the beheading of a teacher who had shown his class caricatures of Prophet Muhammad.",world
Pak's Raza Hasan expelled from domestic cricket season for COVID-19 breach,"Pakistan spinner Raza Hasan was sent home from the Quaid-e-Azam Trophy after he left the bio-bubble at a hotel without clearance. ""It is sad and unfortunate that despite several reminders...Raza Hasan decided to take matters in his hand and overstepped the line,"" said PCB. ""He has been expelled from the tournament and won't be allowed for remaining season,"" PCB added.",sports
"TRS wins 55 seats, BJP 48 and AIMIM 44 in GHMC polls","The results for 149 of 150 seats of Greater Hyderabad Municipal Corporation (GHMC) have been declared, with TRS winning 55 seats, BJP recording a victory in 48 seats and AIMIM in 44 seats. Congress managed to win two seats in the polls. At least 76 seats are required by a party or an alliance of parties to secure a majority.",politics
Japan's spacecraft sends capsule with asteroid samples towards Earth,"Japan's Hayabusa2 spacecraft successfully separated a capsule and sent it towards Earth to deliver samples from asteroid Ryugu. Hayabusa2 left the asteroid Ryugu, about 300 million kilometres away, a year ago. The capsule is now descending to land in a remote, sparsely populated area of Woomera, Australia. Hayabusa2 spacecraft had launched six years ago from Earth.",science
Paris sees 700-km traffic jams hours before second lockdown,"Paris region saw traffic jams with a combined length of around 700 kilometres on Thursday evening, just hours before France entered its second coronavirus lockdown. Traffic jams were also reported around the cities of Lyon and Bordeaux in the hours prior to the lockdown taking effect. Many Parisians left the city to spend lockdown in the countryside, French media reported.",world
"Trump loses 133,000 Twitter followers in 2 weeks, Biden gains 1.1 mn","President Donald Trump has lost 133,902 followers since November 17 while president-elect Joe Biden has gained around 1.15 million, according to Factbase. The website, which tracks Donald Trump's social media activities closely, has measured small declines for Trump for 11 days in a row now. Trump currently has 88.8 million followers, while Joe Biden has 20.2 million.",world
US attorneyâ€™s office is investigating my tax affairs: Hunter Biden,"US President-elect Joe Biden's son Hunter Biden on Wednesday said US attorney's office in Delaware is investigating his ""tax affairs"". Hunter said he took the case ""very seriously"" but was confident an ""objective review"" would demonstrate that he handled his affairs ""legally and appropriately"". Biden's transition team in a statement said that the president-elect was ""deeply proud of his son"".",world
Actor & Gangs of Wasseypur writer Zeishan booked for cheating producer of â‚¹1.5cr,"The Mumbai Police has registered an FIR against actor and writer Zeishan Quadri. A co-producer had filed a complaint against him for allegedly cheating him of â‚¹1.5 crore, which the producer claimed he and another friend had invested in a web series that Quadri was supposedly making. Quadri co-wrote and starred in Anurag Kashyap's 'Gangs of Wasseypur'.",entertainment
